Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
Getting Started with AWS CloudFormation,https://explore.skillbuilder.aws/learn/course/external/view/elearning/3627/getting-started-with-aws-cloudformation,20m 00s,5.0,Free,Fundamental,,AWS
AWS Well-Architected,https://explore.skillbuilder.aws/learn/course/external/view/elearning/2045/aws-well-architected,1h 30m,5.0,Free,Fundamental,"This
 course teaches our customers about the AWS Well-Architected Framework 
to understand how they can make informed decisions about their 
architecture in a cloud-native way and understand the impact of design 
decisions. By using the Well-Architected Framework, customers can 
understand the risks in their architecture, and learn ways to mitigate 
them.",AWS
AWS Cloud Practitioner Essentials: Cloud Concepts,https://explore.skillbuilder.aws/learn/course/external/view/elearning/2022/aws-cloud-practitioner-essentials-cloud-concepts,30m 00s,5.0,Free,Fundamental,AWS Cloud Practitioner Essentials: Cloud Concepts is comprised of the following topics:,AWS
Getting Started with DevOps on AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/2000/getting-started-with-devops-on-aws,1h 00m,5.0,Free,Fundamental,"This course is scheduled to be updated on Friday, April 14, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
AWS Cloud Practitioner Essentials: Core Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1990/aws-cloud-practitioner-essentials-core-services,3h 00m,5.0,Free,Fundamental,AWS Cloud Practitioner Essentials: Core Services is comprised of the following topics:,AWS
Introduction to Machine Learning,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1970/introduction-to-machine-learning,10m 00s,5.0,Free,Fundamental,"This course introduces you to machine learning concepts and the role data plays. We explore use cases, discuss an innovative way to build smart applications, and review the AWS frameworks and services you can use for machine learning.",AWS
AWS Foundations: Cost Management,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1955/aws-foundations-cost-management,35m 00s,5.0,Free,Fundamental,"In this course, you learn about Cloud Financial Management, a set of activities that allows you to successfully manage, optimize, and plan cloud costs. You learn about the six capabilities that are essential for your organization’s Cloud Financial Management journey and the outcomes it helps your organization achieve. Finally, you learn how to baseline and assess your maturity against these capabilities and use them to build your organization’s Cloud Financial Management roadmap.",AWS
AWS Managed Services (AMS): Virtual Foundations Assessment,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1937/aws-managed-services-ams-virtual-foundations-assessment,25m 00s,5.0,Free,Fundamental,This final assessment completes the AWS Managed Services (AMS): Virtual Foundations Curriculum. A score of 80 percent or higher is required to pass. You will have three attempts to successfully complete the assessment.,AWS
Tensorflow and PyTorch on AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1878/tensorflow-and-pytorch-on-aws,30m 00s,5.0,Free,Fundamental,"This course introduces you to the basic concepts of TensorFlow and PyTorch on AWS. The course describes how Amazon SageMaker provides a fully-managed PyTorch experience, and how to use AWS Deep Learning AMIs to build custom environments.",AWS
Twitch Series: AWS Power Hour Amazon Comprehend,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1861/twitch-series-aws-power-hour-amazon-comprehend,1h 05m,5.0,Free,Fundamental,"In this course, you get an overview of Amazon Comprehend, a natural language processing (NLP) service that uses machine learning to find insights and relationships in text. Through demonstrations, you spend some time in the AWS Management Console and see the service in action, with a focus on features like key phrase extraction, sentiment analysis, and entity recognition.",AWS
Twitch Series: AWS Power Hour Introduction to Machine Learning for Developers,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1854/twitch-series-aws-power-hour-introduction-to-machine-learning-for-developers,1h 05m,5.0,Free,Fundamental,"Want to get an introduction to machine learning? In this course, you learn the foundations of machine learning and get a practical perspective on what developers really need to know to get started with machine learning. You also learn how you can leverage the power of machine learning and deep learning to make your applications more intelligent.",AWS
AWS Technical Essentials,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1851/aws-technical-essentials,4h 00m,5.0,Free,Fundamental,"This course is scheduled to be updated on Tuesday, March 28, 2023 at which time your progress in the course will be disrupted. If you have completed the course prior to that date, your progress will not be impacted.",AWS
AWS Managed Services (AMS): Virtual Foundations Curriculum,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1751/aws-managed-services-ams-virtual-foundations-curriculum,1h 15m,5.0,Free,Fundamental,,AWS
AWS Application Migration Service (AWS MGN) – A Technical Introduction,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1727/aws-application-migration-service-aws-mgn-a-technical-introduction,2h 00m,5.0,Free,Fundamental,,AWS
Introduction to Amazon Elastic Load Balancer - Classic,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1688/introduction-to-amazon-elastic-load-balancer-classic,14m 00s,5.0,Free,Fundamental,"This course is a high-level overview of the Classic version of the Amazon Elastic Load Balancer (ELB).  We will discuss advantages like traffic distribution and monitoring when using Amazon ELB within your virtual private cloud, and we'll cover several use cases. We'll also demonstrate how to configure an Amazon ELB.",AWS
Introduction to the AWS Cloud,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1679/introduction-to-the-aws-cloud,20m 00s,5.0,Free,Fundamental,-,AWS
AWS SaaS Factory Architecture Track: SaaS 101,https://explore.skillbuilder.aws/learn/course/external/view/elearning/1667/aws-saas-factory-architecture-track-saas-101,45m 00s,5.0,Free,Fundamental,"SaaS 101 establishes a foundation for your exploration of SaaS architecture. The goal of this course is to provide an introduction to the core terminology, strategies, and patterns that are applied when building SaaS products on AWS. This course establishes a vocabulary and mental model that can then be used to dive more deeply into additional SaaS technical content. The content opens with an introduction to fundamental principles of SaaS and the agility motives that are typically behind an organization’s move to a SaaS delivery model. It then touches on the operational view of SaaS before outlining the core architectural elements of SaaS environments.",AWS
